store_id,metro,retailer,store_lat,store_lon
S1,Birmingham,Lowe's,33.57197773763484,-86.86738173782409
S2,Birmingham,Walgreens,33.536358527155464,-86.87231664472036
S3,Birmingham,Publix,33.446595484847236,-86.81773519944615
S4,Birmingham,Petco,33.53680070211378,-86.77294693599671
S5,Birmingham,Meijer,33.438754084224875,-86.77044022099197
S6,Birmingham,Meijer,33.46682103992209,-86.86767150590272
S7,Birmingham,Petco,33.539746671732985,-86.79030243111211
S8,Birmingham,Petco,33.50635010335558,-86.84797875476436
S9,Birmingham,Publix,33.500574974908744,-86.89200018062155
S10,Birmingham,Kroger,33.49454513179286,-86.81830740284093
S11,Birmingham,Lowe's,33.539909481679956,-86.83155684157191
S12,Birmingham,Kroger,33.535234622395166,-86.8920389257104
S13,Birmingham,Publix,33.5510553569458,-86.81931013464548
S14,Birmingham,CVS,33.5993993967056,-86.72658623404658
S15,Birmingham,CVS,33.497974970457186,-86.89752607460036
S16,Birmingham,CVS,33.55176194477219,-86.82117255112688
S17,Birmingham,Lowe's,33.53839939840087,-86.75042491588749
S18,Birmingham,Publix,33.59227767237418,-86.853819603312
S19,Birmingham,Walgreens,33.56456505385718,-86.82387194259158
S20,Birmingham,Meijer,33.52700785028179,-86.86712619800541
S21,Birmingham,Lowe's,33.5802112594271,-86.81944425599345
S22,Birmingham,CVS,33.58966892307698,-86.792778003814
S23,San Francisco,Walgreens,37.7540848922567,-122.41094672307135
S24,San Francisco,Kroger,37.720327274669266,-122.4403603603084
S25,San Francisco,Walgreens,37.80457841321649,-122.41463694411331
S26,San Francisco,Walgreens,37.75771039920323,-122.44568785883752
S27,San Francisco,Kroger,37.74801990184271,-122.44384717931551
S28,San Francisco,Petco,37.723846077241575,-122.36097356760793
S29,San Francisco,Walgreens,37.762285782181074,-122.44418141903382
S30,San Francisco,Lowe's,37.81275537141458,-122.39457711873828
S31,San Francisco,Publix,37.809721064863744,-122.40668480302628
S32,San Francisco,CVS,37.75791588742531,-122.46549571285698
S33,San Francisco,Lowe's,37.81690462933478,-122.42546591910342
S34,San Francisco,Target,37.722527002034326,-122.44208212139412
S35,San Francisco,Walgreens,37.7948106827941,-122.40844426547507
S36,San Francisco,Meijer,37.82136552910916,-122.42273420898056
S37,San Francisco,Petco,37.831505451446695,-122.37753034108806
S38,San Francisco,Petco,37.78225326370834,-122.38688393840545
S39,San Francisco,Lowe's,37.719752030744615,-122.3941204532377
